Sector,avg(open),min(low),avg(close),avg(volume),max(high)
REAL ESTATE & CONSTRUCTION,10.176505082417576,5.2867,10.168689285714281,212976.1813186813,18.42
TRADE & SERVICES,58.672824213892305,24.87,58.68767543080501,2475920.9017587495,104.9
ENERGY & TRANSPORTATION,17.5628001990462,0.198,17.556030487850865,4669611.431967552,104.59
TECHNOLOGY,72.61458867796497,0.09,72.61408919773878,1.149873897677966E7,705.07
LIFE SCIENCES,45.30218615437485,2.8,45.30967914567102,1772380.0983737975,179.57
MANUFACTURING,32.826966348273345,5.16,32.84054371785455,5396276.952240999,92.32
FINANCE,19.604653790169035,7.2,19.61037292576419,10065.089239726794,41.45
